2018-03-22 21:46:46.348 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:46.420 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:46.449 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.490 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:46.504 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.565 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:46.603 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.718 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:46.755 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.796 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:46.824 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:46.862 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:46.944 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:46.973 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:47.009 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.053 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:47.080 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.137 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:47.231 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.263 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:47.276 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.351 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:47.393 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:47.502 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:47.534 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:47.589 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:47.640 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.725 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:47.740 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.804 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:47.841 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:47.890 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:47.996 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:48.042 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.076 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.126 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.160 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.247 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:48.276 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:48.343 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.370 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.396 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.426 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:48.496 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.511 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.551 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:48.578 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.611 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.625 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.657 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:48.685 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.749 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.778 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.835 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:48.864 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:48.888 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:48.906 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:48.957 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:48.985 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.017 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:49.051 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:49.121 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:49.153 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.196 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:49.225 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.244 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:49.258 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.304 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:49.319 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.372 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:49.401 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:810::200e
2018-03-22 21:46:49.428 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:49.456 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.493 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:49.529 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.548 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:49.584 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.776 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:49.796 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:49.948 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.110
2018-03-22 21:46:49.983 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4006:811::200e
2018-03-22 21:46:50.096 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN A  172.217.10.78
2018-03-22 21:46:50.130 Client IP: 127.0.0.1    request is    safebrowsing-cache.google.com. IN AAAA  2607:f8b0:4004:810::200e
2018-03-22 21:47:35.175 Client IP: 127.0.0.1    request is    www.i.cdn.cnn.com. IN A  172.30.30.30
2018-03-22 21:47:35.420 Client IP: 127.0.0.1    request is    www.i.cdn.cnn.com. IN A  172.30.30.30
